line_id,stop_id,stop_order
19651,19650,0
19651,196514,1
19652,196515,0
19652,196526,1
19653,196526,0
19653,196527,1
19654,196528,0
19654,196540,1
19655,196528,0
19655,196542,1
19656,196543,0
19656,196553,1
19657,196554,0
19657,196553,1
19658,196554,0
19658,196568,1
19659,196569,0
19659,196582,1
196510,196583,0
196510,1965102,1
196511,1965103,0
196511,1965116,1
196512,196598,0
196512,1965130,1
196513,1965131,0
196513,1965148,1
196514,1965149,0
196514,1965158,1
196515,1965159,0
196515,1965165,1
196516,1965166,0
196516,1965184,1
196517,1965185,0
196517,1965199,1
196518,1965200,0
196518,1965215,1
196519,1965216,0
196519,1965230,1
196520,1965216,0
196520,1965244,1
196521,1965245,0
196521,1965258,1
196522,1965259,0
196522,1965269,1
196523,1965270,0
196523,1965281,1
196524,1965185,0
196524,1965293,1
196525,1965272,0
196525,1965304,1
196526,1965305,0
196526,1965317,1
196527,1965318,0
196527,196588,1
196528,1965330,0
196528,1965304,1
196529,1965343,0
196529,1965357,1
196530,1965358,0
196530,1965371,1
196531,1965272,0
196531,1965384,1
196532,1965149,0
196532,1965388,1
196533,196592,0
196533,1965400,1
196534,1965401,0
196534,1965408,1
196535,1965409,0
196535,1965424,1
196536,1965425,0
196536,1965427,1
196537,1965409,0
196537,1965429,1
196538,1965430,0
196538,1965435,1
196539,1965436,0
196539,1965446,1
196540,1965447,0
196540,1965452,1
196541,1965126,0
196541,1965454,1
196542,1965455,0
196542,1965470,1
196543,1965471,0
196543,1965280,1
196544,1965482,0
196544,1965299,1
196545,1965494,0
196545,1965505,1
196546,1965506,0
196546,1965299,1
196547,1965514,0
196547,1965519,1
196548,1965520,0
196548,1965530,1
196549,1965531,0
196549,1965546,1
196550,1965547,0
196550,1965119,1
196551,1965552,0
196551,1965566,1
196552,196595,0
196552,1965578,1
196553,1965579,0
196553,1965587,1
196554,1965588,0
196554,1965601,1
196555,1965602,0
196555,1965520,1
196556,1965612,0
196556,1965624,1
196557,1965103,0
196557,1965635,1
196558,1965636,0
196558,1965647,1
196559,1965648,0
196559,1965556,1
196560,1965656,0
196560,1965665,1
196561,1965666,0
196561,1965665,1
196562,1965673,0
196562,1965665,1
196563,1965677,0
196563,1965681,1
196564,1965682,0
196564,1965685,1
196565,1965346,0
196565,1965691,1
196566,1965692,0
196566,1965706,1
196567,1965707,0
196567,1965716,1
196568,1965103,0
196568,1965727,1
196569,1965728,0
196569,1965741,1
196570,1965511,0
196570,1965746,1
196571,1965170,0
196571,1965750,1
196572,1965751,0
196572,1965770,1
196573,1965103,0
196573,1965520,1
196574,1965778,0
196574,1965791,1
196575,1965149,0
196575,1965796,1
196576,1965797,0
196576,1965806,1
196577,1965770,0
196577,1965811,1
196578,1965812,0
196578,1965821,1
196579,1965346,0
196579,1965828,1
196580,1965346,0
196580,1965656,1
196581,1965346,0
196581,196598,1
196582,1965346,0
196582,1965130,1
196583,1965853,0
196583,1965854,1
196584,1965855,0
196584,1965873,1
196585,1965855,0
196585,1965877,1
196586,1965859,0
196586,1965880,1
196587,1965881,0
196587,1965897,1
196588,1965855,0
196588,1965901,1
196589,1965902,0
196589,1965918,1
196590,1965914,0
196590,1965919,1
196591,1965890,0
196591,1965876,1
196592,1965890,0
196592,1965918,1
196593,1965923,0
196593,1965931,1
196594,1965932,0
196594,1965947,1
196595,1965932,0
196595,1965961,1
196596,1965943,0
196596,1965962,1
196597,1965939,0
196597,1965964,1
196598,1965940,0
196598,1965966,1
196599,1965967,0
196599,1965991,1
1965100,1965981,0
1965100,1965994,1
1965101,1965995,0
1965101,19651000,1
1965102,1965976,0
1965102,1965950,1
